ElementId,Category,Level,RoomName,RoomNumber,RoomAlias,RoomGroupName,RoomGroupNumber,AreaRaw,Area,CH,FloorFinish,WallFinish,CeilingFinish,Notes
ピット-消火水槽,Room,ピット,消火水槽,,,(なし),,16.3281 m²,16.3281,,,,,
ピット-ピット,Room,ピット,ピット,,,(なし),,410.8844 m²,410.8844,,,,,
ピット-ELV ピット,Room,ピット,ELV ピット,,,(なし),,13.1075 m²,13.1075,,,,,
1FL-ピロティ,Room,1FL,ピロティ,,,(なし),,173.3000 m²,173.3,3000,,,,
1FL-ELV,Room,1FL,ELV,,,(なし),,17.2875 m²,17.2875,,,,,
2FL-設備バルコニー,Room,2FL,設備バルコニー,,設備バルコニー,(なし),,22.7760 m²,22.776,,,,,
3FL-設備バルコニー,Room,3FL,設備バルコニー,,設備バルコニー,(なし),,22.7760 m²,22.776,,,,,
4FL-設備バルコニー,Room,4FL,設備バルコニー,,設備バルコニー,(なし),,22.7760 m²,22.776,,,,,
5FL-設備バルコニー,Room,5FL,設備バルコニー,,設備バルコニー,(なし),,22.7760 m²,22.776,,,,,
6FL-設備バルコニー,Room,6FL,設備バルコニー,,設備バルコニー,(なし),,22.7760 m²,22.776,,,,,
7FL-設備バルコニー,Room,7FL,設備バルコニー,,設備バルコニー,(なし),,22.7760 m²,22.776,,,,,
1FL-100,Room,1FL,風除室,100,風除室,1階,1,19.6720 m²,19.672,3000,花こう岩(A),花こう岩(A),岩綿吸音板(A),
1FL-101,Room,1FL,エントランス ホール,101,エントランスホール,1階,1,40.0946 m²,40.0946,3000,花こう岩(A),花こう岩(A),岩綿吸音板(A),
1FL-102,Room,1FL,ELVホール,102,ELVホール,1階,1,19.4052 m²,19.4052,3000,花こう岩(A),花こう岩(A),岩綿吸音板(A),
1FL-103,Room,1FL,廊下2,103,廊下,1階,1,21.4982 m²,21.4982,2500,タイルカーペット(A),EP-2,岩綿吸音板(A),
1FL-103,Room,1FL,廊下1,103,廊下,1階,1,6.3038 m²,6.3038,2500,タイルカーペット(A),EP-2,岩綿吸音板(A),
1FL-106,Room,1FL,店舗,106,店舗,1階,1,163.8309 m²,163.8309,3000,素地,素地,素地,
1FL-107,Room,1FL,管理人室,107,管理人室,1階,1,9.7664 m²,9.7664,2400,ビニル床シート(A),EP-2,岩綿吸音板(A),
1FL-108,Room,1FL,清掃 管理人 控室,108,清掃管理人控室,1階,1,8.0437 m²,8.0437,2400,ビニル床シート(A),EP-2,岩綿吸音板(A),
