レベル,仕上表 グループ名,仕上表 グループ番号*,仕上表 整列番号,仕上表 別名(室名),名前,面積,Unnamed: 7,排煙,排煙告示,施工令,仕上表 選択*,仕上表* 内装制限 根拠,内装制限,SL,FL,CH,床,Unnamed: 18,幅木,Unnamed: 20,腰壁,壁,Unnamed: 23,廻り縁,天井,Unnamed: 26,備考
ピット,(なし),,,,消火水槽,16.3281 m²,,,,,,,,,,,,,,,,,,,,,
ピット,(なし),,,,ピット,410.8844 m²,,,,,,,,,,,,,,,,,,,,,
ピット,(なし),,,,ELV ピット,13.1075 m²,,,,,,,,,,,,,,,,,,,,,
1FL,(なし),,,,ピロティ,173.3000 m²,,,,,,,,,,3000,,,,,,,,,,,
1FL,(なし),,,,ELV,17.2875 m²,,,,,,,,,,,,,,,,,,,,,
2FL,(なし),,,設備バルコニー,設備バルコニー,22.7760 m²,,-,-,,,,-,,,,,,,-,-,,,,,,
3FL,(なし),,,設備バルコニー,設備バルコニー,22.7760 m²,,-,-,,いいえ,-,-,,,,,,,-,-,,,,,,
4FL,(なし),,,設備バルコニー,設備バルコニー,22.7760 m²,,-,-,,,,-,,,,,,,-,-,,,,,,
5FL,(なし),,,設備バルコニー,設備バルコニー,22.7760 m²,,-,-,,,,-,,,,,,,-,-,,,,,,
6FL,(なし),,,設備バルコニー,設備バルコニー,22.7760 m²,,-,-,,,,-,,,,,,,-,-,,,,,,
7FL,(なし),,,設備バルコニー,設備バルコニー,22.7760 m²,,-,-,,,,-,,,,,,,-,-,,,,,,
1FL,1階,1,100,風除室,風除室,19.6720 m²,,告示,2,c,いいえ,2,(不),-50,±0,3000,コンクリート金ごて押え,花こう岩(A),100,花こう岩(A),-,支持金物,花こう岩(A),塩ビ(A),準不燃GB,岩綿吸音板(A),
1FL,1階,1,101,エントランスホール,エントランス ホール,40.0946 m²,,告示,2,c,いいえ,2,(不),-50,±0,3000,コンクリート金ごて押え,花こう岩(A),100,花こう岩(A),-,支持金物,花こう岩(A),塩ビ(A),準不燃GB,岩綿吸音板(A),
1FL,1階,1,102,ELVホール,ELVホール,19.4052 m²,,告示,2,c,いいえ,2,(不),-50,±0,3000,コンクリート金ごて押え,花こう岩(A),100,花こう岩(A),-,支持金物,花こう岩(A),塩ビ(A),準不燃GB,岩綿吸音板(A),
1FL,1階,1,103,廊下,廊下2,21.4982 m²,,告示,2,c,いいえ,2,(不),±0,±0,2500,コンクリート金ごて押え,タイルカーペット(A),60,ビニル幅木(A),-,普通硬質GB,EP-2,塩ビ(A),準不燃GB,岩綿吸音板(A),
1FL,1階,1,103,廊下,廊下1,6.3038 m²,,告示,2,c,いいえ,2,(不),±0,±0,2500,コンクリート金ごて押え,タイルカーペット(A),60,ビニル幅木(A),-,普通硬質GB,EP-2,塩ビ(A),準不燃GB,岩綿吸音板(A),
1FL,1階,1,106,店舗,店舗,163.8309 m²,,自然,-,c,はい,c,準,-2,±0,3000,コンクリート金ごて押え,素地,-,-,-,普通硬質GB,素地,-,準不燃GB,素地,
