ElementId,Category,Level,RoomName,RoomNumber,Area,RuleViolationCount,AIReadinessPenaltyTotal,BlockingRuleIds,HighImpactRuleCount,MediumImpactRuleCount,AIReadinessScore,AIReadinessLevel,HumanReviewRequired
ピット-消火水槽-0001,Room,ピット,消火水槽,,16.3281,1,15,R-102,1,0,85,High,True
ピット-ピット-0002,Room,ピット,ピット,,410.8844,1,15,R-102,1,0,85,High,True
ピット-ELV ピット-0003,Room,ピット,ELV ピット,,13.1075,1,15,R-102,1,0,85,High,True
1FL-ピロティ-0004,Room,1FL,ピロティ,,173.3,1,15,R-102,1,0,85,High,True
1FL-ELV-0005,Room,1FL,ELV,,17.2875,1,15,R-102,1,0,85,High,True
2FL-設備バルコニー-0006,Room,2FL,設備バルコニー,,22.776,1,15,R-102,1,0,85,High,True
3FL-設備バルコニー-0007,Room,3FL,設備バルコニー,,22.776,1,15,R-102,1,0,85,High,True
4FL-設備バルコニー-0008,Room,4FL,設備バルコニー,,22.776,1,15,R-102,1,0,85,High,True
5FL-設備バルコニー-0009,Room,5FL,設備バルコニー,,22.776,1,15,R-102,1,0,85,High,True
6FL-設備バルコニー-0010,Room,6FL,設備バルコニー,,22.776,1,15,R-102,1,0,85,High,True
7FL-設備バルコニー-0011,Room,7FL,設備バルコニー,,22.776,1,15,R-102,1,0,85,High,True
1FL-100-0012,Room,1FL,風除室,100,19.672,0,0,,0,0,100,High,False
1FL-101-0013,Room,1FL,エントランス ホール,101,40.0946,0,0,,0,0,100,High,False
1FL-102-0014,Room,1FL,ELVホール,102,19.4052,0,0,,0,0,100,High,False
1FL-103-0015,Room,1FL,廊下2,103,21.4982,0,0,,0,0,100,High,False
1FL-103-0016,Room,1FL,廊下1,103,6.3038,0,0,,0,0,100,High,False
1FL-106-0017,Room,1FL,店舗,106,163.8309,0,0,,0,0,100,High,False
1FL-107-0018,Room,1FL,管理人室,107,9.7664,0,0,,0,0,100,High,False
1FL-108-0019,Room,1FL,清掃 管理人 控室,108,8.0437,0,0,,0,0,100,High,False
1FL-109-0020,Room,1FL,HWC,109,5.1188,0,0,,0,0,100,High,False
1FL-110-0021,Room,1FL,倉庫,110,23.7411,0,0,,0,0,100,High,False
1FL-111-0022,Room,1FL,ポンプ室,111,17.4472,0,0,,0,0,100,High,False
1FL-112-0023,Room,1FL,電気室,112,17.4573,0,0,,0,0,100,High,False
1FL-113-0024,Room,1FL,ゴミ置場,113,15.1905,0,0,,0,0,100,High,False
1FL-114-0025,Room,1FL,駐車場,114,207.7991,0,0,,0,0,100,High,False
2FL-200-0026,Room,2FL,ELVホール,200,17.4935,0,0,,0,0,100,High,False
4FL-200-0027,Room,4FL,ELVホール,200,17.4935,0,0,,0,0,100,High,False
5FL-200-0028,Room,5FL,ELVホール,200,17.4935,0,0,,0,0,100,High,False
6FL-200-0029,Room,6FL,ELVホール,200,17.4935,0,0,,0,0,100,High,False
7FL-200-0030,Room,7FL,ELVホール,200,17.4935,0,0,,0,0,100,High,False
3FL-200-0031,Room,3FL,ELVホール,200,17.4935,0,0,,0,0,100,High,False
2FL-201-0032,Room,2FL,廊下,201,35.6774,0,0,,0,0,100,High,False
3FL-201-0033,Room,3FL,廊下,201,35.6774,0,0,,0,0,100,High,False
4FL-201-0034,Room,4FL,廊下,201,35.6774,0,0,,0,0,100,High,False
5FL-201-0035,Room,5FL,廊下,201,35.6774,0,0,,0,0,100,High,False
6FL-201-0036,Room,6FL,廊下,201,35.6774,0,0,,0,0,100,High,False
7FL-201-0037,Room,7FL,廊下,201,35.6774,0,0,,0,0,100,High,False
2FL-202-0038,Room,2FL,事務室,202,640.617,0,0,,0,0,100,High,False
3FL-202-0039,Room,3FL,事務室,202,640.8071,0,0,,0,0,100,High,False
4FL-202-0040,Room,4FL,事務室,202,640.8071,0,0,,0,0,100,High,False
5FL-202-0041,Room,5FL,事務室,202,640.8071,0,0,,0,0,100,High,False
6FL-202-0042,Room,6FL,事務室,202,640.8071,0,0,,0,0,100,High,False
7FL-202-0043,Room,7FL,事務室,202,640.6176,0,0,,0,0,100,High,False
2FL-203-0044,Room,2FL,給湯室,203,7.4075,0,0,,0,0,100,High,False
3FL-203-0045,Room,3FL,給湯室,203,7.4075,0,0,,0,0,100,High,False
4FL-203-0046,Room,4FL,給湯室,203,7.4075,0,0,,0,0,100,High,False
5FL-203-0047,Room,5FL,給湯室,203,7.4075,0,0,,0,0,100,High,False
6FL-203-0048,Room,6FL,給湯室,203,7.4075,0,0,,0,0,100,High,False
7FL-203-0049,Room,7FL,給湯室,203,7.4075,0,0,,0,0,100,High,False
2FL-204-0050,Room,2FL,WC男,204,15.2325,0,0,,0,0,100,High,False
3FL-204-0051,Room,3FL,WC男,204,15.2325,0,0,,0,0,100,High,False
4FL-204-0052,Room,4FL,WC男,204,15.2325,0,0,,0,0,100,High,False
5FL-204-0053,Room,5FL,WC男,204,15.2325,0,0,,0,0,100,High,False
6FL-204-0054,Room,6FL,WC男,204,15.2325,0,0,,0,0,100,High,False
7FL-204-0055,Room,7FL,WC男,204,15.2325,0,0,,0,0,100,High,False
2FL-205-0056,Room,2FL,WC女,205,17.5494,0,0,,0,0,100,High,False
3FL-205-0057,Room,3FL,WC女,205,17.5494,0,0,,0,0,100,High,False
4FL-205-0058,Room,4FL,WC女,205,17.5494,0,0,,0,0,100,High,False
5FL-205-0059,Room,5FL,WC女,205,17.5494,0,0,,0,0,100,High,False
6FL-205-0060,Room,6FL,WC女,205,17.5494,0,0,,0,0,100,High,False
7FL-205-0061,Room,7FL,WC女,205,17.5494,0,0,,0,0,100,High,False
2FL-300-0062,Room,2FL,階段室,300,14.1075,0,0,,0,0,100,High,False
1FL-300-0063,Room,1FL,階段室,300,14.3063,0,0,,0,0,100,High,False
3FL-300-0064,Room,3FL,階段室,300,14.1075,0,0,,0,0,100,High,False
4FL-300-0065,Room,4FL,階段室,300,14.1075,0,0,,0,0,100,High,False
5FL-300-0066,Room,5FL,階段室,300,14.1075,0,0,,0,0,100,High,False
6FL-300-0067,Room,6FL,階段室,300,14.1075,0,0,,0,0,100,High,False
7FL-300-0068,Room,7FL,階段室,300,14.1075,0,0,,0,0,100,High,False
2FL-301-0069,Room,2FL,PS,301,3.05,0,0,,0,0,100,High,False
3FL-301-0070,Room,3FL,PS,301,1.16,0,0,,0,0,100,High,False
3FL-301-0071,Room,3FL,PS,301,2.109,0,0,,0,0,100,High,False
4FL-301-0072,Room,4FL,PS,301,3.05,0,0,,0,0,100,High,False
5FL-301-0073,Room,5FL,PS,301,3.05,0,0,,0,0,100,High,False
