
Path                                                                                                   LineNumber Line                                           
----                                                                                                   ---------- ----                                           
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\ai_readiness_assessment_plan.md        430 streamlit run .\app\streamlit_app.py           
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\may_deliverables_260524.md             160 python .\08_python\check_bim_quality.py        
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\may_deliverables_260524.md             337 python .\06_ai_demo\ruleid_lookup_demo.py      
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\room_category_extension_plan.md        666 python -m pytest tests -v が通る                  
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\room_category_extension_plan.md        911 python -m pytest tests -v                      
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\system_overview.md                     747 streamlit run .\app\streamlit_app.py           
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\system_overview.md                     865 python -m pytest tests/test_quality_rules.py -v
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\archive\README_260517.md               175 python .\08_python\check_bim_quality.py        
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\archive\README_260517.md               238 python .\06_ai_demo\ruleid_lookup_demo.py      
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\archive\README_260524.md               300 python .\08_python\check_bim_quality.py        
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\archive\README_260524.md               464 python .\06_ai_demo\ruleid_lookup_demo.py      
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\archive\README_260525.md               313 python .\08_python\check_bim_quality.py        
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\archive\README_260525.md               477 python .\06_ai_demo\ruleid_lookup_demo.py      
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\archive\README_260530.md               416 python .\08_python\check_bim_quality.py        
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\archive\README_260530.md               591 python .\06_ai_demo\ruleid_lookup_demo.py      
C:\Users\PLS-39\OneDrive - ペーパレススタジオジャパン株式会社\▶成果物\bim_quality_poc\docs\baseline\baseline_summary.md            29 python -m pytest -v                            


